Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,Q3,Q2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,Q2,Gd,TA,PConc,Gd,TA,No,GLQ,Q2,Unf,Q1,Q1,Q2,GasA,Ex,Y,SBrkr,Q1,Q2,Q1,Q3,1,0,2,1,3,1,Gd,8,Typ,0,,Attchd,2003.0,RFn,2,Q3,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,2,2008,WD,Normal,208500
2,20,RL,Q4,Q3,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,Q1,TA,TA,CBlock,Gd,TA,Gd,ALQ,Q3,Unf,Q1,Q2,Q3,GasA,Ex,Y,SBrkr,Q3,Q1,Q1,Q2,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,Q2,TA,TA,Y,Q2,Q1,Q1,Q1,Q1,Q1,,,,Q1,5,2007,WD,Normal,181500
3,60,RL,Q3,Q3,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,Q1,Gd,TA,PConc,Gd,TA,Mn,GLQ,Q2,Unf,Q1,Q2,Q2,GasA,Ex,Y,SBrkr,Q2,Q2,Q1,Q4,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,Q4,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,9,2008,WD,Normal,223500
4,70,RL,Q2,Q3,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,Q1,TA,TA,BrkTil,TA,Gd,No,ALQ,Q1,Unf,Q1,Q3,Q1,GasA,Gd,Y,SBrkr,Q2,Q2,Q1,Q3,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,Q4,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,2,2006,WD,Abnorml,140000
5,60,RL,Q4,Q4,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,Q2,Gd,TA,PConc,Gd,TA,Av,GLQ,Q2,Unf,Q1,Q3,Q3,GasA,Ex,Y,SBrkr,Q3,Q2,Q1,Q4,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,Q4,TA,TA,Y,Q2,Q3,Q1,Q1,Q1,Q1,,,,Q1,12,2008,WD,Normal,250000
6,50,RL,Q4,Q4,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,Q1,TA,TA,Wood,Gd,TA,No,GLQ,Q3,Unf,Q1,Q1,Q2,GasA,Ex,Y,SBrkr,Q1,Q1,Q1,Q2,1,0,1,1,1,1,TA,5,Typ,0,,Attchd,1993.0,Unf,2,Q2,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,MnPrv,Shed,Q1,10,2009,WD,Normal,143000
7,20,RL,Q3,Q3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,Q2,Gd,TA,PConc,Ex,TA,Av,GLQ,Q3,Unf,Q1,Q2,Q4,GasA,Ex,Y,SBrkr,Q4,Q1,Q1,Q3,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,Q4,TA,TA,Y,Q2,Q2,Q1,Q1,Q1,Q1,,,,Q1,8,2007,WD,Normal,307000
8,60,RL,Q1,Q3,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,Q2,TA,TA,CBlock,Gd,TA,Mn,ALQ,Q3,BLQ,Q1,Q1,Q3,GasA,Ex,Y,SBrkr,Q3,Q2,Q1,Q4,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,Q3,TA,TA,Y,Q2,Q3,Q1,Q1,Q1,Q1,,,Shed,Q1,11,2009,WD,Normal,200000
9,50,RM,Q2,Q1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,Q1,TA,TA,BrkTil,TA,TA,No,Unf,Q1,Unf,Q1,Q4,Q2,GasA,Gd,Y,FuseF,Q2,Q2,Q1,Q3,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,Q2,Fa,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,,Q1,4,2008,WD,Abnorml,129900
10,190,RL,Q2,Q1,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,Q1,TA,TA,BrkTil,TA,TA,No,GLQ,Q3,Unf,Q1,Q1,Q2,GasA,Ex,Y,SBrkr,Q2,Q1,Q1,Q1,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,Q1,Gd,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,,Q1,1,2008,WD,Normal,118000
